row_number,vendor_name,department,cost_usd,description,suggestion,classification_confidence,brand_group,classification_notes
197,P S Recreation Club,G&A,1219.3458520000001,Recreation club membership — employee wellness benefit,CONSOLIDATE,L,,
198,Fastspring,Engineering,1179.3254225,E-commerce and subscription billing platform for software product sales,OPTIMIZE,M,,
199,Dsv Solutions A/S,Facilities,1162.2954525,"Freight and logistics services — courier and office supply delivery (DSV, Denmark)",OPTIMIZE,M,,
200,Curzon Green Solicitors,Legal,1158.03796,"Solicitors providing commercial, employment and residential legal services",OPTIMIZE,H,,
201,Icare Nsw,G&A,1150.3744735,"Workers compensation insurance authority — New South Wales, Australia (icare)",OPTIMIZE,H,,Flagged as possible individual name — false positive; icare NSW is the NSW Government insurance provider
202,Thomas Mansfield Solicitors Limited,Legal,1135.0475005,Employment law and commercial legal services (UK),OPTIMIZE,H,,
203,Amazon.Co.Uk,G&A,1106.94805,Amazon UK marketplace — general office supplies and equipment purchases,CONSOLIDATE,M,Amazon Web Services / Amazon,"Amazon.co.uk is retail, not AWS; classified G&A for general purchases rather than Engineering"
204,Backoffice Associates,Professional Services,1079.700098,"Data migration, data quality and ERP/SAP consulting services",CONSOLIDATE,M,,
205,Oladi D.O.O.,Facilities,1064.373125,Office facilities or services (Croatia — primary service unconfirmed),OPTIMIZE,L,,
206,Integrated Personnel Services,G&A,1054.155143,HR staffing and personnel management services,CONSOLIDATE,M,,
207,Mãœller Trgovina Zagreb D.O.O.,G&A,1050.749149,"Retail store (personal care, cosmetics) — miscellaneous office or employee purchases (Müller Croatia)",CONSOLIDATE,R,,Encoding corrupted (expected: 'Müller Trgovina Zagreb D.O.O.'). Classified G&A based on Müller being a retail chain.
208,Lunch Nutrition D.O.O.,Facilities,1011.5802180000001,Corporate lunch and nutrition delivery services for office (Croatia),OPTIMIZE,M,,
209,Winmaxi Tours & Travels,G&A,1001.362236,Corporate travel agency and travel management services (India),CONSOLIDATE,M,,
210,Digitalna Produkcija J.D.O.O.,Marketing,992.847251,Digital content production and creative services (Croatia),TERMINATE,N,,
211,Computershare-Caboodle Technology Limited,Finance,980.926272,Employee share plan administration and equity management platform,TERMINATE,N,,
212,Allianz Wa,G&A,970.70829,Workers compensation insurance — Western Australia (Allianz group),TERMINATE,N,Allianz,Flagged as possible individual name — false positive; Allianz WA is workers comp insurance
213,Trending Technology Services Gmbh,Engineering,961.3418065000001,IT and technology consulting services (Germany),TERMINATE,N,,
214,"Godaddy.Com, Llc",Engineering,923.0243740000001,Domain registration and web hosting services for digital infrastructure,TERMINATE,N,,
215,Time Out Group,G&A,920.4698785,Media and lifestyle content — editorial subscription or city guide advertising,TERMINATE,N,,
216,Raiffeisenbank Austria D.D.,Finance,919.61838,Banking services — account administration or transaction fees (Croatia — Raiffeisen),TERMINATE,N,,
217,Galop-Prijevoz D.O.O.,Facilities,907.697401,Transport and courier delivery services (Croatia),TERMINATE,N,,
218,Lane Ip Limited,Legal,851.4985,Intellectual property management and patent/trademark filing services,TERMINATE,N,,
219,Urbani Eventi D.O.O.,G&A,850.6470015000001,Corporate event planning and production services (Croatia),TERMINATE,N,,
220,Smashing Media Ag,Marketing,849.795503,Digital media and web design publication (Smashing Magazine),TERMINATE,N,,
221,Epignosis Llc,G&A,832.765533,Learning management system (eFront LMS) for employee training and development,TERMINATE,N,,
222,Croatia Airlines,G&A,831.9140345000001,Commercial airline — employee business travel (Croatia),TERMINATE,N,,
223,Bb Football Scouting J.D.O.O.,G&A,822.547551,Football/sports scouting — likely employee wellbeing or team-building event,TERMINATE,N,,
224,Boe Croatia D.O.O.,Professional Services,814.0325660000001,Business or operational services (Croatia — primary service unconfirmed),TERMINATE,N,,
225,Potomac D.O.O.,Facilities,805.5175810000001,Office facilities or hospitality services (Croatia — primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Potomac D.O.O. is a Croatian company
226,"President Hotel And Tower Co., Ltd",G&A,802.9630855,Hotel accommodation — business travel (Asia),TERMINATE,N,,
227,Friends Sports Club,G&A,797.002596,Sports club membership — employee wellness benefit,TERMINATE,N,,
228,The Cycle Gap Adyar,G&A,765.4971515000001,Bicycle retail — likely part of employee cycle-to-work or wellness initiative (India),TERMINATE,N,,
229,Apple - Amer,G&A,763.7941545,Apple hardware and software — Americas region entity,TERMINATE,N,Apple,
230,Klg - Kalra Legal Group,Legal,681.1988,Legal services and commercial law advisory (India — Kalra Legal Group),TERMINATE,N,,
231,Kilgannon & Partners Llp,Legal,681.1988,Legal services and commercial law advisory,TERMINATE,N,,
232,Uk Postbox Limited,G&A,670.1293195000001,Virtual mailbox and mail forwarding services — registered business address (UK),TERMINATE,N,,
233,Catering Iviä‡ D.O.O.,Facilities,669.277821,Catering and food services for office (Croatia — 'Catering Ivić'),OPTIMIZE,R,,Encoding corrupted (expected: 'Catering Ivić D.O.O.'). Classified Facilities based on 'Catering' in name.
234,Blink Events,G&A,664.1688300000001,Corporate event management and production services,TERMINATE,N,,
235,Grafo-Jan,Marketing,662.4658330000001,Graphic design and print services (Croatia),TERMINATE,N,,
236,Mesa Verde,G&A,662.4658330000001,Restaurant or hospitality — business meal or team event,TERMINATE,N,,Flagged as possible individual name — false positive; Mesa Verde is a restaurant/hospitality name
237,Pixsy Inc,Legal,613.07892,Image copyright monitoring and intellectual property infringement recovery platform,TERMINATE,N,,
238,Dun & Bradstreet D.O.O.,Finance,609.6729260000001,"Business credit risk intelligence, financial data and compliance analytics services",TERMINATE,N,,
239,Induslaw,Legal,596.04895,Indian law firm providing corporate and commercial legal services,TERMINATE,N,,
240,Trans-Agram Obrt Za Dostavu,Facilities,580.721977,Courier and delivery services (Croatia — 'Dostavu' = delivery),TERMINATE,N,,
241,Landu Law Solicitors,Legal,567.9494995,Legal services and solicitor advisory,TERMINATE,N,,
242,Arena Center Zagreb D.O.O.,G&A,567.0980010000001,"Shopping mall venue — retail purchase or team event (Arena Center, Zagreb)",TERMINATE,N,,
243,Obrt Za Ugostiteljstvo Mirakul,Facilities,565.3950040000001,Catering and hospitality services for office (Croatia — 'Ugostiteljstvo' = catering),TERMINATE,N,,
244,Oakberry Jr D.O.O.,Facilities,534.7410580000001,Food and beverage refreshments — office food (Oakberry açaí brand),TERMINATE,N,,
245,Tau On-Line D.O.O.,Engineering,533.8895595,Online technology or IT services (Croatia),TERMINATE,N,,
246,Magic Mountain Saloon,G&A,523.6715775,Bar and entertainment venue — team social event (Croatia),TERMINATE,N,,
247,Hotel Zonar,G&A,522.8200790000001,Hotel accommodation — business travel or team offsite (Croatia),TERMINATE,N,,Flagged as possible individual name — false positive; Hotel Zonar is a Croatian hotel
248,Roto Dinamic D.O.O.,Engineering,511.7505985,Technical or mechanical engineering equipment services (Croatia),TERMINATE,N,,
249,Tm Forum,Professional Services,510.04760150000004,Telecoms industry standards body membership (lower-value entry; see Tmforum $57.6K),TERMINATE,N,,Possible duplicate/secondary payment to TM Forum — see also 'Tmforum' at $57.6K
250,Marvie Hotel - Krupa D.O.O.,G&A,501.5326165,Hotel accommodation — business travel or team offsite (Croatia),TERMINATE,N,,
251,Merchandise Ltd,Marketing,490.463136,Branded merchandise and promotional products,TERMINATE,N,,
252,Yellow Submarine D.O.O.,Facilities,486.2056435,"Bar, restaurant or catering services (Croatia)",TERMINATE,N,,
253,Streamlinereforms Inc,Professional Services,482.79964950000004,Business process reform and consulting services,TERMINATE,N,,
254,Make And Grow Ltd,Marketing,482.79964950000004,Creative agency or marketing growth services,TERMINATE,N,,
255,Obiteljski Hoteli D.O.O.,G&A,474.2846645,Hotel accommodation — business travel (Croatia — 'Obiteljski Hoteli' = Family Hotels),TERMINATE,N,,
256,Rudan D.O.O.,Facilities,472.58166750000004,"Office facilities, construction or maintenance services (Croatia)",TERMINATE,N,,Flagged as possible individual name — false positive; Rudan D.O.O. is a Croatian company
257,Entrio Tehnologije D.O.O.,Marketing,472.58166750000004,Event ticketing technology platform for Croatian events,TERMINATE,N,,
258,Vivat Fina Vina D.O.O.,G&A,466.62117800000004,Fine wine retailer — likely for company events or client entertainment (Croatia),TERMINATE,N,,
259,"Figma, Inc.",Product,459.80919,Collaborative design and interactive prototyping tool for Product and UX teams,TERMINATE,N,,
260,E-Disti D.O.O.,Engineering,458.106193,IT distribution and technology products supplier (Croatia),TERMINATE,N,,
261,Greencell Express Private Limited,G&A,457.2546945,Express delivery and courier services (India),TERMINATE,N,,
262,Edwardian Pastoria Hotels Ltd (The Londoner),G&A,433.41273650000005,"Hotel accommodation — business travel (The Londoner, London)",TERMINATE,N,,
263,Tiganda J.D.O.O.,Facilities,431.7097395,Office facilities or maintenance services (Croatia — primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Tiganda J.D.O.O. is a Croatian company
264,"Franklin, Gringer & Cohen, P.C.",Legal,426.6007485,US law firm providing legal services,TERMINATE,N,,
265,Blitz - Cinestar D.O.O.,G&A,425.74925,Cinema chain — employee entertainment benefit or team event (Croatia — Blitz CineStar),TERMINATE,N,,
266,Lancefield Bus Service,Facilities,412.12527400000005,Bus and transport service — likely employee shuttle or event transport (UK),TERMINATE,N,,
267,Super Odrediå¡Te D.O.O.,G&A,378.065334,Retail or general services (Croatia — 'Super Odredište' = Super Destination; encoding corrupted),CONSOLIDATE,R,,Encoding corrupted (expected: 'Super Odredište D.O.O.'). Classified G&A as catch-all; primary service unconfirmed.
268,Pmi Global Operations Center,G&A,378.065334,Project Management Institute (PMI) — professional certification and membership fees,TERMINATE,N,,
269,Student Packers & Movers,Facilities,371.253346,Office relocation and moving services (India),TERMINATE,N,,
270,Del Posto D.O.O.,Facilities,363.58985950000005,Restaurant or catering services (Croatia — 'Del Posto' restaurant),TERMINATE,N,,
271,Inicijativa Centar Za Edukaciju,G&A,357.62937,Education and professional training centre (Croatia — 'Centar Za Edukaciju' = Education Centre),TERMINATE,N,,
272,Niva Transport J.D.O.O.,Facilities,357.62937,Transport and logistics services (Croatia),TERMINATE,N,,
273,Doctor Anywhere Operations Pte Ltd,G&A,346.5598895,Telemedicine and digital health platform — employee wellness benefit (Singapore),TERMINATE,N,,
274,Spar Hrvatska D.O.O.,Facilities,340.5994,Supermarket and grocery chain — office supplies or canteen provisions (Croatia — SPAR),TERMINATE,N,,
275,Pepe'S Italian And Liquor,Facilities,338.896403,Restaurant and bar — office catering or team meal (Croatia),TERMINATE,N,,
276,"Pluralsight, Llc",Engineering,318.460439,Technology skills and developer training platform,TERMINATE,N,,
277,Maniax Melbourne Cbd,G&A,315.05444500000004,Axe-throwing entertainment venue — team-building event (Melbourne),TERMINATE,N,,
278,Dnsimple,Engineering,311.648451,DNS management and domain services for technical infrastructure,TERMINATE,N,,
279,Treci Posao D.O.O.,G&A,307.3909585,Online recruitment and job listing platform (Croatia — 'Treći Posao' = Third Job),TERMINATE,N,,
280,Gaucho Restaurants,G&A,302.2819675,Argentinian restaurant chain — team event or client entertainment,TERMINATE,N,,Flagged as possible individual name — false positive; Gaucho is a premium restaurant chain
281,Formswift,SaaS,301.430469,"Online document creation, templates and e-signature platform",TERMINATE,N,,
282,Safestore Ltd,Facilities,286.9549945,Self-storage facilities — likely for office equipment or business documents,TERMINATE,N,,
283,Split Tech City,Professional Services,283.54900050000003,"Tech industry community and professional networking association (Split, Croatia)",TERMINATE,N,,
284,National Securities Depository Limited(Nsdl),Finance,280.994505,National securities depository — employee share plan and ESOP settlement services (India),TERMINATE,N,,
285,Adamma Info Services Private Limited,G&A,273.3310185,IT or business services provider (India — primary service unconfirmed),TERMINATE,N,,
286,The Riding House Cafe,G&A,264.8160335,Restaurant and cafe — business meal or team event (London),TERMINATE,N,,
287,Stillmark Zagreb D.O.O.,Marketing,263.1130365,"PR and corporate communications agency (Zagreb, Croatia)",TERMINATE,N,,
288,Lastpass Ireland Limited,SaaS,263.1130365,Enterprise password manager and credentials security vault (company-wide IT security),TERMINATE,N,,
289,Taste Of Health,Facilities,258.855544,Healthy food delivery or catering services for office,TERMINATE,N,,
290,Infodata,Engineering,240.97407550000003,Data or IT services provider (primary service unconfirmed),TERMINATE,N,,
291,Amazon (Aus),G&A,233.31058900000002,Amazon Australia marketplace — general office supplies and purchases,TERMINATE,N,Amazon Web Services / Amazon,"Amazon.com.au retail, not AWS; classified G&A for general purchases"
292,Regency Hampers Ltd,G&A,247.877645215,Corporate gift hampers — client or employee seasonal gifting,TERMINATE,N,,
293,Bella Operation A/S,Facilities,240.505819335,"Conference and exhibition centre venue (Bella Center, Copenhagen)",TERMINATE,N,,
294,The Plant Man,Facilities,234.976949925,Office plant installation and maintenance services,TERMINATE,N,,
295,Media Promo Plus D.O.O.,Marketing,225.762167575,Media promotion and advertising services (Croatia),TERMINATE,N,,
296,Expert-Ing D.O.O.,Engineering,224.84068934,Engineering and technical consulting services (Croatia — 'Expert-Ing'),TERMINATE,N,,
297,Atlassian Pty Ltd,Engineering,223.91921110500002,"Developer collaboration and project management tools (Jira, Confluence — Atlassian)",TERMINATE,N,,Flagged as possible individual name — false positive; Atlassian is a major developer tools company
298,Djs For U,G&A,220.233298165,DJ and entertainment services — likely for a company social event,TERMINATE,N,,
299,Freepik Company,Marketing,202.72521170000002,"Stock images, vectors and design resources for marketing and content creation",TERMINATE,N,,
300,Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,G&A,199.03929876,Public health teaching institute — occupational health services (Croatia — 'Dr. Andrija Štampar'),OPTIMIZE,R,,Encoding corrupted (expected: 'Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Štampar'). Classified G&A (occupational health).
301,Rishi Events And Entainment,G&A,198.117820525,Event management and entertainment services (India),TERMINATE,N,,
302,Kosmaz Technologies Croatia,Engineering,195.35338582,Technology services and IT solutions (Croatia),TERMINATE,N,,
303,Dhl,Facilities,190.745994645,Express delivery and international courier services,TERMINATE,N,,
304,Hotel Laguna D.D.,G&A,189.82451641,Hotel accommodation — business travel or team offsite (Croatia),TERMINATE,N,,
305,Bigshare Services Private Limited,Finance,187.98155994,Share registry and investor services — ESOP and equity plan administration (India),TERMINATE,N,,
306,Zettanet,Engineering,183.374168765,Network and IT connectivity services,TERMINATE,N,,
307,Hahn Air,G&A,183.374168765,Airline interline ticketing services — business travel,TERMINATE,N,,
308,Vitality Works,G&A,181.53121229500002,Employee health and corporate wellness programme services (Australia),TERMINATE,N,,Flagged as possible individual name — false positive; Vitality Works is a workplace wellness provider
309,Avoxi Inc,Engineering,177.845299355,Cloud communications platform and virtual phone number services,TERMINATE,N,,
310,Zapier Inc.,SaaS,166.787560535,"Workflow automation and app integration platform (cross-functional, IT-governed)",TERMINATE,N,,
311,"Solarwinds, Inc",Engineering,165.86608230000002,IT infrastructure monitoring and network management software,TERMINATE,N,,
312,Xenon Savjetovanje D.O.O.,Professional Services,164.02312583,Business and management consulting services (Croatia — 'Savjetovanje' = Consulting),TERMINATE,N,,
313,Floom Ltd,G&A,162.18016936,"Premium online flower delivery — employee recognition, gifting or events",TERMINATE,N,,
314,Notino S.R.O.,G&A,161.258691125,Online beauty and fragrance retailer — likely employee gifting or wellness purchases,TERMINATE,N,,
315,"Paint&Wine, Vl. Stevo Dosen",G&A,159.415734655,Paint and wine team-building creative experience (Croatia),TERMINATE,N,,
316,Parcelforce Worldwide,Facilities,154.80834348000002,Parcel delivery and business postal services (UK — Parcelforce),TERMINATE,N,,
317,Advena,G&A,153.886865245,Business services provider (primary service unconfirmed),TERMINATE,N,,
318,Hrvatski Nezavisnici Izvoznici Softvera,Professional Services,153.886865245,Croatian Independent Software Exporters industry association membership,TERMINATE,N,,
319,Monile J.D.O.O.,Engineering,152.043908775,Mobile technology or IT services (Croatia — 'Monile'),TERMINATE,N,,Flagged as possible individual name — false positive; Monile J.D.O.O. is a Croatian company
320,Puzzle Promotion J.D.O.O.,Marketing,142.829126425,Promotional and creative marketing services (Croatia),TERMINATE,N,,
321,Zagrebaä_x008d_Ki Holding D.O.O.,G&A,142.829126425,Zagreb city holding company — municipal utility or public service fees (Croatia),CONSOLIDATE,R,,Encoding corrupted (expected: 'Zagrebački Holding D.O.O.'). Classified G&A based on Zagreb city infrastructure entity.
322,Event Ors,G&A,142.829126425,Event organisation and management services,TERMINATE,N,,Flagged as possible individual name — false positive; 'Event Ors' is an events company
323,Sportkart D.O.O.,G&A,140.986169955,Go-kart and motor sport entertainment — team-building event (Croatia — 'Sportkart'),TERMINATE,N,,
324,"Interaction Design Foundation, Inc",Product,138.22173525,UX/design online learning and certification platform for Product and Design teams,TERMINATE,N,,
325,(Blank),G&A,137.300257015,Unidentified vendor — blank vendor name entry,TERMINATE,N,,Blank vendor name in source data; $137 spend. Review source records to identify.
326,Escape Art D.O.O.,G&A,132.69286584,Escape room entertainment — team-building event (Croatia),TERMINATE,N,,
327,Fero-Term,Facilities,130.84990937,Thermal engineering or HVAC/heating system services (Croatia — 'Fero-Term'),TERMINATE,N,,
328,Ustanova Za Zdravstvenu Skrb P.P.,G&A,130.84990937,Healthcare institution providing occupational health services (Croatia),TERMINATE,N,,
329,Vistaprint,Marketing,129.928431135,Online printed marketing materials and branded business stationery,TERMINATE,N,,
330,Teb Poslovno Savjetovanje D.O.O.,Finance,129.00695290000002,Tax and business advisory services (Croatia — TEB Poslovno Savjetovanje),TERMINATE,N,,
331,Illunis D.O.O.,Facilities,128.085474665,Lighting or electrical services for office (Croatia — 'Illunis'),TERMINATE,N,,Flagged as possible individual name — false positive; Illunis D.O.O. is a Croatian company
332,The Cook Kitchen,Facilities,122.55660525500001,Office catering or cooking team-building experience,TERMINATE,N,,
333,Australian Taxation Office (Ato),Finance,122.55660525500001,Australian government tax authority — statutory tax payments and compliance,TERMINATE,N,,
334,Capitol Services,Professional Services,119.79217055000001,Registered agent and government compliance services (US — Capitol Services),TERMINATE,N,,
335,Bonus Opinio D.O.O.,Marketing,119.79217055000001,"Market research, opinion polling and survey services (Croatia — 'Opinio' = opinion)",TERMINATE,N,,
336,Dhl Express (Uk) Ltd,Facilities,118.870692315,International express courier and shipping services (DHL UK),TERMINATE,N,,
337,Kat'S Kitchen D.O.O.,Facilities,118.870692315,Catering and food services for office (Croatia — 'Kat's Kitchen'),TERMINATE,N,,
338,Soho Kitchen Ltd,G&A,104.12704055500001,"Restaurant — business meal or team event (London, Soho)",TERMINATE,N,,
339,Fortis Trade J.D.O.O.,Professional Services,94.912258205,Trade and business services (Croatia — primary service unconfirmed),TERMINATE,N,,
340,Till Trade D.O.O.,Professional Services,93.06930173500001,Trade or retail services (Croatia — primary service unconfirmed),TERMINATE,N,,
341,Pret A Manger,Facilities,92.1478235,Coffee and sandwich chain — office refreshments or team meals,TERMINATE,N,,
342,Axil Coffee Roasters,Facilities,89.383388795,Specialty coffee supplier — office refreshments (Australia),TERMINATE,N,,
343,Pepco Croatia D.O.O.,G&A,89.383388795,Discount retail chain — likely office supplies or general employee purchases (Croatia — PEPCO),TERMINATE,N,,
344,Lemia D.O.O.,Facilities,87.540432325,Office facilities or cleaning services (Croatia — primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Lemia D.O.O. is a Croatian company
345,Retriever Llc,Engineering,87.540432325,"Data retrieval, search or IT services (US — primary service unconfirmed)",TERMINATE,N,,
346,Meluba Limited,G&A,87.540432325,Business services provider (primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Meluba Limited is a company entity
347,London Waste Management,Facilities,85.69747585500001,Waste collection and office recycling services (London),TERMINATE,N,,
348,Hilton Garden Inn - Zagreb City Hotels D.O.O.,G&A,82.011562915,"Hotel accommodation — business travel (Hilton Garden Inn, Zagreb)",TERMINATE,N,,
349,Lider Media D.O.O.,Marketing,80.16860644500001,Business media and publishing — Croatian business magazine and news (Lider),TERMINATE,N,,
350,Uptime Robot Service Provider Ltd,Engineering,78.325649975,Website and service uptime monitoring and alerting tool,TERMINATE,N,,
351,Mithras Consultants,Professional Services,77.40417174000001,Business or IT consulting services (primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Mithras Consultants is a consulting firm
352,6Sense Insights Inc,Sales,75.56121527,Account-based marketing (ABM) and buyer intent data platform,TERMINATE,N,,
353,Ico,Legal,67.26791115500001,UK Information Commissioner's Office — mandatory data protection registration fee,TERMINATE,N,,
354,Sportska Udruga Split,G&A,66.34643292,"Sports association membership — employee wellness and sports benefit (Split, Croatia)",TERMINATE,N,,
355,Prezzee,G&A,63.581998215000006,Digital gift card platform — employee recognition and gifting,TERMINATE,N,,
356,Inet Telecoms Ltd.,Facilities,62.660519980000004,Internet and telecommunications services,TERMINATE,N,,
357,Wolt Enterprises Oy,Facilities,61.739041745,"Food delivery platform — office meal ordering for team (Wolt, Finland/Europe)",TERMINATE,N,,
358,Platinum Office D.O.O.,Facilities,61.739041745,Office supplies and stationery services (Croatia — 'Platinum Office'),TERMINATE,N,,
359,Snappy Snaps,G&A,58.97460704,Photo printing and retail services — miscellaneous employee use,TERMINATE,N,,Flagged as possible individual name — false positive; Snappy Snaps is a UK photo printing chain
360,New Block D.O.O.,Engineering,56.210172335,IT or technology services (Croatia — primary service unconfirmed),TERMINATE,N,,
361,Cayman Islands Government,G&A,56.210172335,Government registration or entity compliance fee (Cayman Islands),TERMINATE,N,,
362,Officeworks,G&A,56.210172335,Office supplies and stationery retailer — general office purchases (Australia),TERMINATE,N,,
363,Click Send Pty Ltd,Marketing,55.2886941,"Bulk SMS, email and direct mail marketing services (Australia — ClickSend)",TERMINATE,N,,
364,Kall Kwik Centre 565,Marketing,55.2886941,Print and copy centre — marketing materials and business document printing,TERMINATE,N,,
365,Shilton Hospitality Llp,G&A,55.2886941,Hospitality or hotel services — business travel or team event,TERMINATE,N,,Flagged as possible individual name — false positive; Shilton Hospitality LLP is a hospitality company
366,Axosoft Gitkraken,Engineering,54.367215865,Git client and repository management tool for software developers,TERMINATE,N,,Flagged as possible individual name — false positive; Axosoft/GitKraken is a developer tools company
367,Istra Wine,G&A,53.44573763,Istrian wine retailer — likely for company event or client gift (Croatia),TERMINATE,N,,Flagged as possible individual name — false positive; Istra Wine is a Croatian wine retailer
368,Gophr,Facilities,51.60278116,On-demand courier and last-mile delivery services (UK — Gophr),TERMINATE,N,,
369,Pan-Pek D.O.O.,Facilities,49.75982469,Bakery and food products supplier — office catering provisions (Croatia — Pan-Pek),TERMINATE,N,,
370,Uber *Eats,Facilities,49.75982469,Food delivery platform — office team meal ordering (Uber Eats),TERMINATE,N,,
371,Fedex Express Uk Transportation Ltd,Facilities,46.995389985,International courier and express parcel delivery services (FedEx UK),TERMINATE,N,,
372,Garden City D.O.O.,Facilities,45.152433515,Retail or hospitality services (Croatia — primary service unconfirmed),TERMINATE,N,,
373,Livingstone,G&A,40.54504234,Business services or hospitality provider (primary service unconfirmed),TERMINATE,N,,Flagged as possible individual name — false positive; Livingstone is a company entity
374,Ekupi D.O.O.,G&A,39.623564105,Online marketplace and retail — miscellaneous purchases (Croatia — Ekupi e-commerce),TERMINATE,N,,
375,Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,35.937651165,Pharmacy and health products retailer — employee wellness or personal care (Croatia),TERMINATE,N,,
376,Cupcake Central (Life Is Sweet Bakery),Facilities,35.01617293,Bakery and dessert catering — team event or office refreshments (Australia),TERMINATE,N,,
377,Post Office Ltd,Facilities,32.251738225000004,Postal services for business correspondence and parcels (UK Post Office),TERMINATE,N,,
378,Currys Pc World,G&A,30.408781755,Consumer electronics and IT retailer — likely office equipment purchase (UK — Currys PC World),TERMINATE,N,,
379,Brodomerkur D.D.,G&A,28.565825285000003,Retail and general supplies store — miscellaneous purchases (Croatia — Brodomerkur),TERMINATE,N,,Flagged as possible individual name — false positive; Brodomerkur D.D. is a Croatian retail company
380,Sport Vision D.O.O.,G&A,25.80139058,Sports goods retailer — employee wellness or team event purchase (Croatia — Sport Vision),TERMINATE,N,,
381,Harissa D.O.O.,Facilities,21.193999405,Restaurant or food catering services (Croatia — 'Harissa' restaurant),TERMINATE,N,,Flagged as possible individual name — false positive; Harissa D.O.O. is a Croatian company
382,Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,20.27252117,Occupational health and sports medicine specialist clinic (Croatia),TERMINATE,N,,
383,Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,20.27252117,Occupational health specialist medical practice (Croatia),TERMINATE,N,,
384,Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,20.27252117,Occupational health and sports medicine institution (Croatia),TERMINATE,N,,
385,M&S Simply Food,Facilities,19.351042935000002,"Grocery and food retailer — office refreshments (M&S Simply Food, UK)",TERMINATE,N,,
386,Bakemono Bakers Melbourne,Facilities,18.4295647,Artisan bakery — office catering or team event refreshments (Melbourne),TERMINATE,N,,
387,Coles,Facilities,17.508086465,Supermarket chain — office grocery and refreshment supplies (Australia — Coles),TERMINATE,N,,
